No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,date,pm2.5_log,week
1,2010,1,1,0,111.33333333333333,-21,-11.0,1021.0,1.79,0,0,0,1,0,0,2010-01-01,4.712528704308591,4
2,2010,1,1,1,129.0,-21,-12.0,1020.0,4.92,0,0,0,1,0,0,2010-01-01,4.859812404361672,4
3,2010,1,1,2,104.0,-21,-11.0,1019.0,6.71,0,0,0,1,0,0,2010-01-01,4.6443908991413725,4
4,2010,1,1,3,104.33333333333333,-21,-14.0,1019.0,9.84,0,0,0,1,0,0,2010-01-01,4.647590901872044,4
5,2010,1,1,4,60.0,-20,-12.0,1018.0,12.97,0,0,0,1,0,0,2010-01-01,4.0943445622221,4
6,2010,1,1,5,48.333333333333336,-19,-10.0,1017.0,16.1,0,0,0,1,0,0,2010-01-01,3.8781214537524646,4
7,2010,1,1,6,46.0,-19,-9.0,1017.0,19.23,0,0,0,1,0,0,2010-01-01,3.828641396489095,4
8,2010,1,1,7,34.333333333333336,-19,-9.0,1017.0,21.02,0,0,0,1,0,0,2010-01-01,3.5361166995615263,4
9,2010,1,1,8,26.333333333333332,-19,-9.0,1017.0,24.15,0,0,0,1,0,0,2010-01-01,3.270835563798912,4
10,2010,1,1,9,21.0,-20,-8.0,1017.0,27.28,0,0,0,1,0,0,2010-01-01,3.044522437723423,4
11,2010,1,1,10,27.666666666666668,-19,-7.0,1017.0,31.3,0,0,0,1,0,0,2010-01-01,3.3202283191284883,4
12,2010,1,1,11,21.0,-18,-5.0,1017.0,34.43,0,0,0,1,0,0,2010-01-01,3.044522437723423,4
13,2010,1,1,12,18.333333333333332,-19,-5.0,1015.0,37.56,0,0,0,1,0,0,2010-01-01,2.908720896564361,4
14,2010,1,1,13,20.333333333333332,-18,-3.0,1015.0,40.69,0,0,0,1,0,0,2010-01-01,3.0122615755052013,4
15,2010,1,1,14,20.666666666666668,-18,-2.0,1014.0,43.82,0,0,0,1,0,0,2010-01-01,3.028522096376982,4
16,2010,1,1,15,22.666666666666668,-18,-1.0,1014.0,0.89,0,0,0,0,0,1,2010-01-01,3.120895416507997,4
17,2010,1,1,16,26.0,-19,-2.0,1015.0,1.79,0,0,0,1,0,0,2010-01-01,3.258096538021482,4
18,2010,1,1,17,28.0,-18,-3.0,1015.0,2.68,0,0,0,1,0,0,2010-01-01,3.332204510175204,4
19,2010,1,1,18,32.333333333333336,-18,-5.0,1016.0,1.79,0,0,1,0,0,0,2010-01-01,3.4760986898352733,4
20,2010,1,1,19,39.333333333333336,-17,-4.0,1017.0,1.79,0,0,0,1,0,0,2010-01-01,3.672072335797555,4
21,2010,1,1,20,50.333333333333336,-17,-5.0,1017.0,0.89,0,0,0,0,0,1,2010-01-01,3.9186675481468147,4
22,2010,1,1,21,55.666666666666664,-17,-5.0,1018.0,1.79,0,0,0,1,0,0,2010-01-01,4.019381523748645,4
23,2010,1,1,22,60.0,-17,-5.0,1018.0,2.68,0,0,0,1,0,0,2010-01-01,4.0943445622221,4
24,2010,1,1,23,84.0,-17,-5.0,1020.0,0.89,0,0,0,0,0,1,2010-01-01,4.430816798843313,4
25,2010,1,2,0,129.0,-16,-4.0,1020.0,1.79,0,0,0,0,1,0,2010-01-02,4.859812404361672,5
26,2010,1,2,1,148.0,-15,-4.0,1020.0,2.68,0,0,0,0,1,0,2010-01-02,4.997212273764115,5
27,2010,1,2,2,159.0,-11,-5.0,1021.0,3.57,0,0,0,0,1,0,2010-01-02,5.0689042022202315,5
28,2010,1,2,3,181.0,-7,-5.0,1022.0,5.36,1,0,0,0,1,0,2010-01-02,5.198497031265826,5
29,2010,1,2,4,138.0,-7,-5.0,1022.0,6.25,2,0,0,0,1,0,2010-01-02,4.927253685157205,5
30,2010,1,2,5,109.0,-7,-6.0,1022.0,7.14,3,0,0,0,1,0,2010-01-02,4.6913478822291435,5
31,2010,1,2,6,105.0,-7,-6.0,1023.0,8.93,4,0,0,0,1,0,2010-01-02,4.653960350157523,5
32,2010,1,2,7,124.0,-7,-5.0,1024.0,10.72,0,0,0,0,1,0,2010-01-02,4.820281565605037,5
33,2010,1,2,8,120.0,-8,-6.0,1024.0,12.51,0,0,0,0,1,0,2010-01-02,4.787491742782046,5
34,2010,1,2,9,132.0,-7,-5.0,1025.0,14.3,0,0,0,0,1,0,2010-01-02,4.882801922586371,5
35,2010,1,2,10,140.0,-7,-5.0,1026.0,17.43,1,0,0,0,1,0,2010-01-02,4.941642422609304,5
36,2010,1,2,11,152.0,-8,-5.0,1026.0,20.56,0,0,0,0,1,0,2010-01-02,5.0238805208462765,5
37,2010,1,2,12,148.0,-8,-5.0,1026.0,23.69,0,0,0,0,1,0,2010-01-02,4.997212273764115,5
38,2010,1,2,13,164.0,-8,-5.0,1025.0,27.71,0,0,0,0,1,0,2010-01-02,5.099866427824199,5
39,2010,1,2,14,158.0,-9,-5.0,1025.0,31.73,0,0,0,0,1,0,2010-01-02,5.062595033026967,5
40,2010,1,2,15,154.0,-9,-5.0,1025.0,35.75,0,0,0,0,1,0,2010-01-02,5.0369526024136295,5
41,2010,1,2,16,159.0,-9,-5.0,1026.0,37.54,0,0,0,0,1,0,2010-01-02,5.0689042022202315,5
42,2010,1,2,17,164.0,-8,-5.0,1027.0,39.33,0,0,0,0,1,0,2010-01-02,5.099866427824199,5
43,2010,1,2,18,170.0,-8,-5.0,1027.0,42.46,0,0,0,0,1,0,2010-01-02,5.135798437050262,5
44,2010,1,2,19,149.0,-8,-5.0,1028.0,44.25,0,0,0,0,1,0,2010-01-02,5.003946305945459,5
45,2010,1,2,20,154.0,-7,-5.0,1028.0,46.04,0,0,0,0,1,0,2010-01-02,5.0369526024136295,5
46,2010,1,2,21,164.0,-7,-5.0,1027.0,49.17,1,0,0,0,1,0,2010-01-02,5.099866427824199,5
47,2010,1,2,22,156.0,-8,-6.0,1028.0,52.3,2,0,0,0,1,0,2010-01-02,5.049856007249537,5
48,2010,1,2,23,126.0,-8,-6.0,1027.0,55.43,3,0,0,0,1,0,2010-01-02,4.836281906951478,5
49,2010,1,3,0,90.0,-7,-6.0,1027.0,58.56,4,0,0,0,1,0,2010-01-03,4.499809670330265,6
50,2010,1,3,1,63.0,-8,-6.0,1026.0,61.69,5,0,0,0,1,0,2010-01-03,4.143134726391533,6
51,2010,1,3,2,65.0,-8,-7.0,1026.0,65.71,6,0,0,0,1,0,2010-01-03,4.174387269895637,6
52,2010,1,3,3,55.0,-8,-7.0,1025.0,68.84,7,0,0,0,1,0,2010-01-03,4.007333185232471,6
53,2010,1,3,4,65.0,-8,-7.0,1024.0,72.86,8,0,0,0,1,0,2010-01-03,4.174387269895637,6
54,2010,1,3,5,83.0,-9,-8.0,1024.0,76.88,9,0,0,0,1,0,2010-01-03,4.418840607796598,6
55,2010,1,3,6,91.0,-10,-8.0,1024.0,80.9,10,0,0,0,1,0,2010-01-03,4.51085950651685,6
56,2010,1,3,7,86.0,-10,-9.0,1024.0,84.92,11,0,0,0,1,0,2010-01-03,4.454347296253507,6
57,2010,1,3,8,82.0,-10,-9.0,1024.0,89.84,12,0,0,0,1,0,2010-01-03,4.406719247264253,6
58,2010,1,3,9,86.0,-11,-9.0,1023.0,93.86,13,0,0,0,1,0,2010-01-03,4.454347296253507,6
59,2010,1,3,10,78.0,-11,-9.0,1023.0,97.88,15,0,0,0,1,0,2010-01-03,4.356708826689592,6
60,2010,1,3,11,98.0,-11,-9.0,1022.0,102.8,16,0,0,0,1,0,2010-01-03,4.584967478670572,6
61,2010,1,3,12,107.0,-11,-9.0,1021.0,105.93,17,0,0,0,1,0,2010-01-03,4.672828834461906,6
62,2010,1,3,13,90.0,-11,-9.0,1020.0,111.74,19,0,0,0,1,0,2010-01-03,4.499809670330265,6
63,2010,1,3,14,96.0,-11,-9.0,1020.0,116.66,20,0,0,0,1,0,2010-01-03,4.564348191467836,6
64,2010,1,3,15,95.0,-11,-9.0,1020.0,121.58,21,0,0,0,1,0,2010-01-03,4.553876891600541,6
65,2010,1,3,16,86.0,-11,-9.0,1020.0,124.71,22,0,0,0,1,0,2010-01-03,4.454347296253507,6
66,2010,1,3,17,70.0,-11,-9.0,1020.0,127.84,23,0,0,0,1,0,2010-01-03,4.248495242049359,6
67,2010,1,3,18,61.0,-11,-9.0,1021.0,0.89,24,0,0,0,0,1,2010-01-03,4.110873864173311,6
68,2010,1,3,19,53.0,-11,-9.0,1022.0,1.78,25,0,0,0,0,1,2010-01-03,3.970291913552122,6
69,2010,1,3,20,71.0,-10,-9.0,1022.0,4.02,26,0,0,1,0,0,2010-01-03,4.2626798770413155,6
70,2010,1,3,21,72.0,-11,-10.0,1023.0,7.15,27,0,0,1,0,0,2010-01-03,4.276666119016055,6
71,2010,1,3,22,76.0,-11,-9.0,1023.0,11.17,0,0,0,1,0,0,2010-01-03,4.330733340286331,6
72,2010,1,3,23,73.0,-12,-11.0,1023.0,14.3,0,0,0,1,0,0,2010-01-03,4.290459441148391,6
73,2010,1,4,0,79.0,-14,-12.0,1023.0,16.09,0,0,0,1,0,0,2010-01-04,4.3694478524670215,0
74,2010,1,4,1,58.0,-16,-9.0,1023.0,21.9,0,0,0,1,0,0,2010-01-04,4.060443010546419,0
75,2010,1,4,2,25.0,-17,-10.0,1024.0,29.95,0,0,0,1,0,0,2010-01-04,3.2188758248682006,0
76,2010,1,4,3,26.0,-18,-11.0,1024.0,39.78,0,0,0,1,0,0,2010-01-04,3.258096538021482,0
77,2010,1,4,4,28.0,-19,-11.0,1025.0,48.72,0,0,0,1,0,0,2010-01-04,3.332204510175204,0
78,2010,1,4,5,26.0,-20,-12.0,1026.0,55.87,0,0,0,1,0,0,2010-01-04,3.258096538021482,0
79,2010,1,4,6,20.0,-21,-12.0,1027.0,64.81,0,0,0,1,0,0,2010-01-04,2.995732273553991,0
80,2010,1,4,7,29.0,-21,-13.0,1027.0,73.75,0,0,0,1,0,0,2010-01-04,3.367295829986474,0
81,2010,1,4,8,26.0,-22,-13.0,1028.0,80.9,0,0,0,1,0,0,2010-01-04,3.258096538021482,0
82,2010,1,4,9,27.0,-22,-13.0,1029.0,90.73,0,0,0,1,0,0,2010-01-04,3.295836866004329,0
83,2010,1,4,10,27.0,-22,-12.0,1030.0,100.56,0,0,0,1,0,0,2010-01-04,3.295836866004329,0
